player_name,player_id,season,team,attempts,actual_rating,expected_rating,salary,salary_millions,value_over_expected,value_pct,value_category,rating_per_million,total_pass_epa,cpoe,success_rate_pct,completion_pct,td_rate_pct,turnover_rate_pct,total_wpa,total_value,guaranteed,year_signed,contract_length
D.Prescott,00-0033077,2016,Cowboys,552.0,83.05206380789745,58.3,0.680848,0.68,24.8,42.5,Elite Value,121.98,134.5,4.3,52.7,60.7,4.5,0.9,3.26,2.723392,0.383392,2016,4
P.Mahomes,00-0033873,2018,Chiefs,717.0,88.34621587966302,64.5,4.106491,4.11,23.9,37.0,Elite Value,21.51,231.3,3.7,51.2,59.4,7.0,1.6,5.3,16.425962,16.425962,2017,4
D.Carr,00-0031280,2016,Raiders,596.0,80.78958594318972,59.1,1.342951,1.34,21.7,36.8,Elite Value,60.16,81.3,-0.0,45.8,59.9,4.5,1.0,3.8,5.371802,3.310937,2014,4
P.Mahomes,00-0033873,2020,Chiefs,777.0,89.3433052758142,68.0,4.106491,4.11,21.3,31.3,Elite Value,21.76,215.0,2.3,54.1,60.0,5.2,1.0,7.34,16.425962,16.425962,2017,4
P.Mahomes,00-0033873,2020,Chiefs,777.0,89.3433052758142,68.0,4.106491,4.11,21.3,31.3,Elite Value,21.76,215.0,2.3,54.1,60.0,5.2,1.0,7.34,16.425962,16.425962,2017,4
B.Purdy,00-0037834,2023,49ers,604.0,84.42771685614021,63.4,0.934253,0.93,21.1,33.2,Elite Value,90.37,176.6,3.9,52.8,61.9,5.4,1.9,3.97,3.737012,0.077012,2022,4
R.Wilson,00-0029263,2015,Seahawks,669.0,82.6578687958294,62.5,0.749194,0.75,20.1,32.2,Elite Value,110.33,136.1,7.3,50.7,55.8,5.3,1.5,1.9,2.996774,0.619472,2012,4
R.Wilson,00-0029263,2015,Seahawks,669.0,82.6578687958294,62.5,0.749194,0.75,20.1,32.2,Elite Value,110.33,136.1,7.3,50.7,55.8,5.3,1.5,1.9,2.996774,0.619472,2012,4
J.Allen,00-0034857,2021,Bills,744.0,85.44842299120677,65.9,5.295759,5.3,19.5,29.6,Elite Value,16.14,149.4,2.2,51.5,57.1,4.9,1.8,2.67,21.183034,21.183034,2018,4
J.Allen,00-0034857,2021,Bills,744.0,85.44842299120677,65.9,5.295759,5.3,19.5,29.6,Elite Value,16.14,149.4,2.2,51.5,57.1,4.9,1.8,2.67,21.183034,21.183034,2018,4
T.Taylor,00-0028118,2016,Bills,527.0,77.49406151291761,58.8,1.116667,1.12,18.7,31.8,Elite Value,69.4,57.7,2.2,45.0,51.0,3.0,1.0,0.67,3.35,1.15,2015,3
T.Taylor,00-0028118,2016,Bills,527.0,77.49406151291761,58.8,1.116667,1.12,18.7,31.8,Elite Value,69.4,57.7,2.2,45.0,51.0,3.0,1.0,0.67,3.35,1.15,2015,3
R.Wilson,00-0029263,2012,Seahawks,554.0,81.14462029642422,63.0,0.749194,0.75,18.1,28.7,Elite Value,108.31,121.9,5.1,50.2,52.5,4.8,1.8,2.82,2.996774,0.619472,2012,4
J.Allen,00-0034857,2020,Bills,766.0,86.43241481592071,68.7,5.295759,5.3,17.8,25.9,Elite Value,16.32,184.6,6.0,53.9,61.7,4.9,1.3,4.92,21.183034,21.183034,2018,4
J.McCown,00-0021206,2013,Bears,244.0,83.71508566865057,66.5,0.865,0.86,17.2,25.8,Elite Value,96.78,85.7,4.9,54.1,61.1,5.2,0.4,2.47,0.865,0.125,2013,1
J.Hurts,00-0036389,2022,Eagles,637.0,82.45768730770322,65.3,1.506294,1.51,17.1,26.2,Elite Value,54.74,87.0,2.9,46.0,57.1,3.2,0.8,3.96,6.025176,3.435816,2020,4
K.Cousins,00-0029604,2015,Commanders,628.0,79.53176835311294,62.4,0.643172,0.64,17.1,27.4,Elite Value,123.66,82.4,5.2,47.9,65.0,4.6,1.7,2.59,2.572688,0.472688,2012,4
J.Herbert,00-0036355,2021,Chargers,745.0,83.60240666255697,66.6,6.644689,6.64,17.0,25.4,Elite Value,12.58,127.6,-0.6,50.3,59.5,4.9,1.9,4.95,26.578754,26.578754,2020,4
P.Mahomes,00-0033873,2019,Chiefs,657.0,88.36921494392004,71.6,4.106491,4.11,16.8,23.4,Elite Value,21.52,198.7,2.3,51.1,59.5,5.2,1.0,5.92,16.425962,16.425962,2017,4
D.Maye,00-0039851,2025,Patriots,475.0,83.54536765449927,67.3,9.159941,9.16,16.3,24.2,Elite Value,9.12,130.3,9.6,52.8,58.1,4.5,1.2,3.24,36.639764,36.639764,2024,4
J.Love,00-0036264,2023,Packers,690.0,80.58854527044576,64.2,3.095868,3.1,16.3,25.4,Elite Value,26.03,107.1,1.4,46.7,59.3,5.1,1.8,1.98,12.38347,12.38347,2020,4
J.Love,00-0036264,2023,Packers,690.0,80.58854527044576,64.2,3.095868,3.1,16.3,25.4,Elite Value,26.03,107.1,1.4,46.7,59.3,5.1,1.8,1.98,12.38347,12.38347,2020,4
C.Kaepernick,00-0027974,2012,49ers,352.0,79.3565754349796,63.6,1.281074,1.28,15.7,24.7,Elite Value,61.95,75.7,4.1,49.1,52.6,3.4,1.2,1.48,5.124296,3.8,2011,4
J.Hurts,00-0036389,2023,Eagles,662.0,79.3310892991896,63.6,1.506294,1.51,15.7,24.7,Elite Value,52.67,56.2,4.1,45.8,56.9,3.1,1.9,1.99,6.025176,3.435816,2020,4
J.Hurts,00-0036389,2023,Eagles,662.0,79.3310892991896,63.6,1.506294,1.51,15.7,24.7,Elite Value,52.67,56.2,4.1,45.8,56.9,3.1,1.9,1.99,6.025176,3.435816,2020,4
L.Jackson,00-0034796,2019,Ravens,531.0,86.38357437169427,70.6,2.367913,2.37,15.7,22.3,Elite Value,36.48,161.5,2.8,48.8,55.7,5.4,1.2,2.89,9.471652,8.055062,2018,4
B.Purdy,00-0037834,2024,49ers,526.0,79.92171258553161,64.4,0.934253,0.93,15.5,24.1,Elite Value,85.55,96.8,2.1,50.6,57.0,3.6,2.2,2.06,3.737012,0.077012,2022,4
J.Daniels,00-0039910,2024,Commanders,734.0,83.2712003043653,67.8,9.436663,9.44,15.5,22.9,Elite Value,8.82,132.4,3.3,48.8,55.3,3.6,1.2,4.65,37.74665,37.74665,2024,4
R.Fitzpatrick,00-0023682,2018,Buccaneers,284.0,79.26466979502752,63.8,3.3,3.3,15.5,24.2,Elite Value,24.02,48.1,5.2,50.4,57.7,5.7,4.0,0.97,3.3,1.3,2018,1
D.Watson,00-0033537,2020,Texans,657.0,83.00553347766567,67.7,3.463621,3.46,15.3,22.6,Elite Value,23.96,141.5,6.5,52.8,58.1,4.8,1.0,2.97,13.854482,13.854482,2017,4
